meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Alberto Signetto Special Award for the best DocuShort,,2022,,Skepto  ,International Film Festival,,Cagliari ,Italie,VO film de Nicolas Gourault |code:1304,,
Tënk Award ,,2022,Visions Du RéEl - Nyon (CH) |code:1049,,Film Festival,,Nyon ,Suisse ,Le cercle vide film de Stéphanie Roland |code:1844,,
Best ExtraWorks FIlm ,ExtraWorks competition ,2022,,Working Title ,Fi$,,Vicenza,Italie,VO film de Nicolas Gourault |code:1304,,
Best Short Film Award ,Short film ,2022,,Flatpack,Film Festival,,Birmingham ,Royaume-Uni,VO film de Nicolas Gourault |code:1304,,
Silver Lynx Experimental Award ,Silver Lynx Experimental Short Film ,2022,,Fest New Directors New Films ,,,Espinho ,Portugal,Le cercle vide film de Stéphanie Roland |code:1844,,
Young talent award,Short film ,2021,,Netzhaut Ton,Film Festival,,Wiener Neustadt,Autriche ,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Young Jury award,Pesaro Nuovo Cinema Competition ,2021,,Pesaro,Film Festival,,Pesaro ,Italie ,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Prix Alice Guy ,Flash Competition ,2021,Festival International De CinéMa De Marseille - Marseille (FR) |code:1086,,International Film Festival,,Marseille,France,Podesta Island film de Stéphanie Roland |code:1327,,
Mention spéciale ,officielle ,2021,,Moscow International Experimental Film Festival ,,,Moscou,Russie,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Prix Révélation Art numérique - Art vidéo ADAGP,,2021,,Prix Panorama 23,Gala ,Le Fresnoy ,Tourcoing ,France ,Love & Revenge film de Anhar Salem |code:1881,,
Prix Around Video Art Fair ,,2021,,Prix Panorama 23,Gala ,Le Fresnoy ,Tourcoing ,France ,Love & Revenge film de Anhar Salem |code:1881,,
