meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Meilleur court métrage,,2014,,PAFF,Film Festival,,Pancevo,Serbie,La grenouille et dieu film de Alice Furtado |code:497,,
Igong - new artist ,,2014,,Seoul media,Multimedia festival,,Séoul,Corée du Sud,Gli immacolati film de Ronny Trocker |code:522,,
Prix jeune talent numérique,,2014,,Scam*,Gala,Cent-Quatre,Paris,France,Gli immacolati film de Ronny Trocker |code:522,,
Prix spécial du jury,première création,2014,,Pointdoc,International Documentary Film Festival,,,Espagne,La mariée film de Joel Curtz |code:476,,
Mention spéciale du jury,,2014,,2Annas,Film Festival,,Riga,Lettonie,Gli immacolati film de Ronny Trocker |code:522,,
Renard d'argent ,,2014,,Semaine du cinéma du bureau des Arts de Science Po,Film Festival,,Paris,France,Ce qui me fait prendre le train film de Pierre Mazingarbe |code:509,,
Meilleur court-métrage,,2014,,Rencontres internationales sciences et cinéma ,Film Festival,,Marseille,France,Tehran-Geles film de Arash Nassiri |code:29,,
Coup de cœur Arte creative,,2014,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Lecedra film de Jivko Darakchiev |code:440,,
Best student short (deuxième),,2014,Palm Springs - Palm Springs (US) |code:1075,,Short Film Festival,,Palm Springs,Etats-Unis,Gli immacolati film de Ronny Trocker |code:522,,
Videobrasil residency price,,2014,VidéObrasil - Sao Paulo (BR) |code:1114,,Prix annuel ,,Sao Paulo,Brésil,Tomo film de Bakary Diallo |code:442,,
Mention spéciale du jury ,film étudiant ,2014,,Bruz,International Animation Festival,,Rennes,France,Gli immacolati film de Ronny Trocker |code:522,,
Lenzing Award (bronze),,2014,,Festival of nations,Film Festival,,Lenzing,Autriche ,Killing a pig without Mao film de Zhenqian Huang |code:504,,
New Amerika price,,2014,,Szczecin European,Film Festival,,Szczecin,Pologne,Gli immacolati film de Ronny Trocker |code:522,,
Artistic contribution award,,2014,,Olhar de Cinema,Film Festival,,Curitiba,Brésil,Que je tombe tout le temps ? film de Eduardo Williams |code:524,,
Mention spéciale du jury ,,2014,,Fresh Film Fest,Film Festival,,Prague,République-Tchèque,Gli immacolati film de Ronny Trocker |code:522,,
Prix spécial du jury,,2014,,Regards au Longs-Courts,Film Festival,,Trouville ,France,Gli immacolati film de Ronny Trocker |code:522,,
Premio Under 35,,2014,InvidéO - Milan (IT) |code:1143,,Film Festival,,Milan,Italie,Une vie radieuse film de Meryll Hardt |code:500,,
Prix du public,,2014,,Regards au Longs-Courts,Film Festival,,Trouville ,France,La mariée film de Joel Curtz |code:476,,
Silver plaque,,2014,Chicago International Film Festival - Chicago (US) |code:1065,,Film Festival,,Chicago,Etats-Unis,Gli immacolati film de Ronny Trocker |code:522,,
Prix du jury presse,,2014,,Les Enfants terribles,Film Festival,,Huy,Belgique,Tehran-Geles film de Arash Nassiri |code:29,,
Best animation,,2014,,Kurzundschön,Short Film Festival,,,Allemagne,Gli immacolati film de Ronny Trocker |code:522,,
Norberto Griffa de la création audiovisuelle,,2014,,Bienal de la imagen en movimiento ,Film Festival,,Buenos Aires,Argentine,Aequador film de Laura Huertas Millan |code:452,,
Meilleure actrice ,,2014,,PAFF,Film Festival,,Pancevo,Serbie,La grenouille et dieu film de Alice Furtado |code:497,,
Prix du jury,,2014,,Fémina,Film Festival,,Rio,Brésil,A idade da pedra film de Ana Vaz |code:523,,
Prix du jury lycéen,,2014,Poitiers Films Festival - Poitiers (FR) |code:1162,,Film Festival,,Poitiers,France,Tehran-Geles film de Arash Nassiri |code:29,,
Prix de la Ville ,,2013,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Sing under film de Jung Hee Seo |code:467,,
Shine short,,2013,,Bradford,Film Festival,,Bradford,Royaume-Unis,Quatro horas descalço film de Ico Costa |code:438,,
Prix des cinéphiles,,2013,,Recontres cinématographiques,Film Festival,,Digne-les-Bains,France,Jeanne film de Dania Reymond |code:464,,
Young talent award,,2013,Munich Filmfest - Munich (DE) |code:1130,,Film Festival,,Munich,Allemagne,Ce qui me fait prendre le train film de Pierre Mazingarbe |code:509,,
Prix du jury ,,2013,,Eurydice,Film Festival,,Fécamp,France,Ce qui me fait prendre le train film de Pierre Mazingarbe |code:509,,
Meilleur film expérimental ,,2012,,Riviera Maya Underground,Film Festival,,Playa del Carmen,Mexique ,"La Bibliothèque, la nuit film de Joao Vieira Torres |code:410",,
Grand Prix ,,2012,Ca Foscari - Venise (IT) |code:1041,,Film Festival,,Venise,Italie,Le jour où le fils de Raïner s’est noyé film de Aurélien Vernhes-Lermusiaux |code:409,,
Prix des étudiants d'Angers,,2012,Premiers Plans - Angers (FR) |code:921,,Film Festival,,Tremblay,France,Fireworks film de Giacomo Abbruzzese |code:380,,
Mention spéciale ,,2012,,Cinéma et droits humains,Film Festival,,Paris,France,Manque de preuves film de Hayoun Kwon |code:396,,
Best short film,,2012,,Toronto Reel Asian ,Film Festival,,Toronto ,Canada,Manque de preuves film de Hayoun Kwon |code:396,,
Prix des nouvelles écritures,,2012,,Cutlog,Gala,,Paris,France,Manque de preuves film de Hayoun Kwon |code:396,,
Meilleur documentaire,,2012,,Festival du court métrage de Lille,Short Film Festival,,Lille,France,Manque de preuves film de Hayoun Kwon |code:396,,
Mention spéciale,,2012,,Chypre,Short Film Festival,,Nicosie,Chypre,Manque de preuves film de Hayoun Kwon |code:396,,
Meilleur documentaire,,2012,,Curtocircuito,Short Film Festival,,Saint-Jaques de Compostelle,Espagne,Manque de preuves film de Hayoun Kwon |code:396,,
EMAF ,,2012,Emaf - Osnabruck (DE) |code:955,,Multimedia festival,,Osnabruck,Allemagne,Manque de preuves film de Hayoun Kwon |code:396,,
Ken Burns Award,,2012,Ann Arbor - Ann Arbor (US) |code:1034,,Film Festival,,Ann Arbor,Etats-Unis,Manque de preuves film de Hayoun Kwon |code:396,,
Grand Prix,,2012,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Deuxième bureau film de Lixin Bao |code:383,,
"Prix du court-métrage ""ado""",,2012,,Ciné-jeune,Film Festival,,Laon,France,Fireworks film de Giacomo Abbruzzese |code:380,,
Prix du jury professionnel ,,2012,,Terra du Cinéma,Film Festival,,Tremblay,France,Fireworks film de Giacomo Abbruzzese |code:380,,
Meilleure fiction,,2012,,Recontres cinéma-nature,Film Festival,,Dompierre-sur-Besbre,France,Fireworks film de Giacomo Abbruzzese |code:380,,
Meilleure réalisation,,2012,,Bibienna,Film Festival,,Bibienna,Italie,Fireworks film de Giacomo Abbruzzese |code:380,,
Mention honorifique,,2012,,Santa Maria da Feira,Film Festival,,Santa Maria da Feira,Brésil,Version française film de Maya Werneck Da-Rin |code:411,,
Prix spécial du jury ,,2012,,Cutlog,Gala,,Paris,France,Plastic and glass film de Tessa Joosse |code:284,,
Mention spéciale du jury,,2012,Milano Film Festival - Milan (IT) |code:1076,,Film Festival,,Milan,Italie,Fireworks film de Giacomo Abbruzzese |code:380,,
Best political documentary ,,2012,,Couch Fest Film,Wordwide film festival,,,,Manque de preuves film de Hayoun Kwon |code:396,,
Best experimental work ,,2012,,Annual Bushwick,Film Festival,,Brooklyn,Etats-Unis,Naufrage film de Clorinde Durand |code:254,,
Prix de l'œuvre numérique,,2012,,Scam*,Gala,,Paris,France,Manque de preuves film de Hayoun Kwon |code:396,,
Prix spécial du jury ,,2012,,Cutlog Paris ,Gala,,Paris,France,Brises film de Enrique Ramirez |code:238,,
Prix Médiatine,,2012,,Prix Médiatine,Prix annuel ,Centre Wallonie Bruxelles,Bruxelles,Belgique,Cabinet d'affects installation de Emmanuel Van Der Auwera |code:372,,
Meilleur film,,2011,,Brecht Festival,Film Festival,,Augsburg,Allemagne,Plastic and glass film de Tessa Joosse |code:284,,
No violence Award,,2011,Ann Arbor - Ann Arbor (US) |code:1034,,Film Festival,,Ann Arbor,Etats-Unis,Atlantiques film de Mati Diop |code:282,,
Meilleur court-métrage,,2011,Bafici - Buenos Aires (AR) |code:1056,,Film Festival,,Buenos Aires,Argentine,El juego film de Benjamin Naishtat |code:347,,
Prix de la ville,,2011,Oberhausen - Oberhausen (DE) |code:1060,,Film Festival,,Oberhausen,Allemagne,Sans titre film de Neïl Beloufa |code:332,,
Prix du jury ,,2011,CôTé Court - Pantin (FR) |code:1071,,Short Film Festival,,Pantin,France,Bobok film de Simon Leibovitz-Grzeszczak |code:343,,
CER des cheminots du Nord-pas -de-Calais,,2011,,L'Acharnière,Film Festival,,Lille,France,Toujours moins film de Luc Moullet |code:375,,
Mention spéciale,,2011,,Summer Corto café Festival,Film Festival,,Tarente,Italie,La mécanique de la grive film de Rossella Piccinno |code:348,,
Grand Prix,,2011,25 Fps - Zagreb (HR) |code:1097,,Experimental Film Festival,,Zagreb,Croatie,Manque de preuves film de Hayoun Kwon |code:396,,
Barcelona vidéodance,,2011,,IDN,Multimedia festival,,Barcelone,Espagne,Continuum film de Manon Le Roy |code:290,,
K3 jury award,,2011,,K3,Film Festival,,Vienne,Autriche ,Phone tapping film de Hee Won Lee |code:286,,
Prix Analix Forever,,2011,,Analix Forever,Prix annuel ,,Chêne-Bourg,France,858 pages plus au sud film de Grégory Buchert |code:416,,
Prix professionnel,,2011,,Artcourtvidéo,Short Film Festival,,Arles,France,Generatia de sacrificiu film de Jean-Christophe  |code:388,,
Prix talent d'argent,,2011,,Fondation Schneider,Prix annuel ,Fondation Schneider,Wattwiller,France,Le cours des cours installation de Bertrand Rigaux |code:135,,
Mention spéciale (mise en scène),,2011,,Etiuda,Film Festival,,Krakowie,Pologne,Le jour où le fils de Raïner s’est noyé film de Aurélien Vernhes-Lermusiaux |code:409,,
3ème prix Forward thinking museum,,2011,,Forward thinking museum,Prix annuel ,,,Pays Bas,Concrete mirrors installation de David De Beyter |code:356,,
Best visual-aural interaction,,2011,,Madatac,Film Festival,,Madrid,Espagne,Phone tapping film de Hee Won Lee |code:286,,
Second Pirx ,,2010,,Médiacity,Multimedia festival,,Ontario,Canada,Atlantiques film de Mati Diop |code:282,,
Tiger Short Award,,2010,Iffr - Rotterdam (NL) |code:1008,,Film Festival,,Rotterdam,Pays-Bas,Atlantiques film de Mati Diop |code:282,,
"Mention spéciale, prix lycéen",,2010,,Terra du Cinéma,Film Festival,,Tremblay,France,La mécanique de la grive film de Rossella Piccinno |code:348,,
Mention spéciale du prix Louis Marcorelles,,2010,Cinéma du réel -  () |code:1450,,International Documentary Film Festival,,Paris,France,Atlantiques film de Mati Diop |code:282,,
Prix Joris Ivens,premier film,2010,Cinéma du réel -  () |code:1450,,Film Festival,,Paris,France,La quemadura  film de René Ballesteros |code:278,,
Grand Prix ,,2010,,L'Acharnière,Film Festival,,Lille,France,Plastic and glass film de Tessa Joosse |code:284,,
Prix CER des cheminots,,2010,,L'Acharnière,Film Festival,,Lille,France,Plastic and glass film de Tessa Joosse |code:284,,
Mention spéciale du jury,long métrage,2010,,Cine B,Film Festival,,Santiago,Chili,La quemadura  film de René Ballesteros |code:278,,
Best experimental work ,,2010,,Santa-Cruz,Film Festival,,Santa-Cruz,Etats-Unis,Plastic and glass film de Tessa Joosse |code:284,,
Grand Prix,,2010,,Oslo Screen,Film Festival,,Oslo,Norvège,Planet A film de Momoko Seto |code:256,,
Meilleur film,italiana corti,2010,,Turin,Film Festival,,Turin,France,Archipel film de Giacomo Abbruzzese |code:327,,
Premio Avanti,,2010,,Turin,Film Festival,,Turin,France,Archipel film de Giacomo Abbruzzese |code:327,,
Grand Prix ,,2010,,Vidéogr@phie[s],Film Festival,,Liège,Belgique,Phone tapping film de Hee Won Lee |code:286,,
Coup de cœur du jury ,,2010,,Le Réel en vue,Film Festival,,Thionville,France,Plastic and glass film de Tessa Joosse |code:284,,
Meilleur court-métrage,,2010,,Valpolicella,Film Festival,,San Pietro in Cariano,Italie,La mécanique de la grive film de Rossella Piccinno |code:348,,
2ème prix Jeunes Talents concours,,2010,,Air France,Concours,,,,Les déplacements internes film de Jean-Christophe  |code:334,,
Grand Prix,,2010,,Documenta,International Documentary Film Festival,,Madrid,Espagne,La quemadura  film de René Ballesteros |code:278,,
Meilleur réalisateur,cinéma chilien ,2010,,SANFIC,Film Festival,,Santiago,Chili,La quemadura  film de René Ballesteros |code:278,,
1er prix jeunes talents,,2010,,Concours Air France,Concours,,,France,Phone tapping film de Hee Won Lee |code:286,,
Short film prize,,2010,,Environmental ,Film Festival,,Paris,France,Plastic and glass film de Tessa Joosse |code:284,,
Award of Hungarian student jury ,student-work section,2010,,Dialektus,International Documentary Film Festival,,Budapest,Hongrie,Plastic and glass film de Tessa Joosse |code:284,,
1er prix ,,2010,,Télésorbonne,Film Festival,,Paris,France,Plastic and glass film de Tessa Joosse |code:284,,
Prix OVNI,,2010,,Média festival,Film Festival,,Namur,Belgique,Vous êtes-vous déjà fait piquer par une abeille morte ? film de Jonathan Rubin |code:231,,
Diploma of merit,,2009,Tampere - Tampere (FI) |code:1029,,Film Festival,,Tampere,Finlande,Planet A film de Momoko Seto |code:256,,
1er prix,,2009,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Naufrage film de Clorinde Durand |code:254,,
Prix du jury,,2009,,Panorama du cinéma du Maghreb,Film Festival,,Saint-Denis,France,Abena film de Amel Elkamel |code:240,,
Mention spéciale du jury,,2009,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Coagulate film de Mihai Grecu |code:224,,
Prix Transfera video art,,2009,,Madatac,Film Festival,,Madrid,Espagne,Coagulate film de Mihai Grecu |code:224,,
Prix de l'institut des sciences et techniques de Valenciennes,,2009,,L'Acharnière,Film Festival,,Lille,France,Faire le mur film de Bertille Bak |code:250,,
Prix jeunes taletns,,2009,,L'Acharnière,Film Festival,,Lille,France,Faire le mur film de Bertille Bak |code:250,,
Exis Award,,2009,,Seoul,Experimental Film Festival,,Seoul ,Corée du Sud,Coagulate film de Mihai Grecu |code:224,,
Winner of esplora category,,2009,,Concorto,Film Festival,,Pontenure,Italie,Naufrage film de Clorinde Durand |code:254,,
Meilleur film,,2009,,Lebanese ,Film Festival,,Beyrouth,Liban,Un instant mon glamour film de Shirin Abu Shaqra |code:277,,
Under 35 award,,2009,InvidéO - Milan (IT) |code:1143,,Film Festival,,Milan,Italie,Naufrage film de Clorinde Durand |code:254,,
1er prix ,,2009,Busan - Busan (KR) |code:1113,,Film Festival,,Busan,Corée du Sud,Phone tapping film de Hee Won Lee |code:286,,
Mention spéciale meilleur montage,,2009,,Sur les pas de mon oncle ,Film Festival,,Saint-Maur,France,Ein schloss im meer (un château en mer) film de Bärbel Pfänder |code:253,,
Diploma of merit,,2009,,Mediaschool,Prix annuel ,,Lodz,Pologne,Plastic and glass film de Tessa Joosse |code:284,,
Prix canal+ cocotte minute,,2009,Festival EuropéEn Du Film Court De Brest - Brest (FR) |code:1134,,Short Film Festival,,Brest,France,Cantor dust man film de Sébastien Loghman |code:308,,
Prix du meilleur court-métrage expérimental,section internationale ,2009,,Aguilar de Campoo,Film Festival,,,Espagne,Phone tapping film de Hee Won Lee |code:286,,
Bobine d'Or,,2009,,Bobin'Lilles,Gala,L'Univers,Lille,France,Brises film de Enrique Ramirez |code:238,,
Excellence Award,,2009,,Tokyo Video,Film Festival,,Tokyo,Japon,Under construction film de Zhenchen Liu |code:212,,
Meilleure bande son,,2009,,Bobin'Lilles,Gala,L'Univers,Lille,France,Naufrage film de Clorinde Durand |code:254,,
Mention spéciale du jury ,,2009,,MiradasDoc,Film Festival,,Guia de Isora,Espagne,Under construction film de Zhenchen Liu |code:212,,
Best cinematography award,,2009,,Belgrade,Film Festival,,Belgrade,Serbie,Visités film de Clément Cogitore |code:220,,
Mention spéciale,,2009,,Film Essay Award,Prix annuel ,Université autonome de Barcelone,Barcelone,Espagne,Under construction film de Zhenchen Liu |code:212,,
Prix IBN,,2009,,Catania,Film Festival,,Catania,Italie,Naufrage film de Clorinde Durand |code:254,,
Prix de la création vidéo,,2008,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Unlith film de Mihai Grecu |code:198,,
Prix de l'innovation,,2008,,L'Acharnière,Film Festival,,Lille,France,Under construction film de Zhenchen Liu |code:212,,
Prix Seccio Creacio,,2008,,Girona,Film Festival,,Gérone,Espagne,Naufrage film de Clorinde Durand |code:254,,
Diploma of merit,,2008,,Mediaschool,Film Festival,,Krakow,Pologne,Ein schloss im meer (un château en mer) film de Bärbel Pfänder |code:253,,
Silver Dinosaur,,2008,,Etiuda & Anima,Film Festival,,Krakow,Pologne,Ein schloss im meer (un château en mer) film de Bärbel Pfänder |code:253,,
Prix Scam* Jeune talent ,,2008,,E-Magiciens,Film Festival,,,France,Le corso film de Bertrand Dezoteux |code:248,,
Prix du jury étudiant,,2008,,Rencontres Henri Langlois,Film Festival,,Poitiers,France,Brises film de Enrique Ramirez |code:238,,
Prix spécial du jury,,2008,,Doc en court,International Documentary Film Festival,,Lyon,France,L'agnosie visuelle film de Guillaume Meigneux |code:189,,
1er prix du jury ,,2008,,Ex.Is,Film Festival,,Bilbao,Espagne,Entre un oeil et l'autre film de Laetitia Legros |code:196,,
Prix spécial du jury ,,2008,,Vendôme ,Film Festival,,Vendôme ,France,Visités film de Clément Cogitore |code:220,,
Mention spéciale,,2008,,Sleepwalkers,Short Film Festival,,,Estonie,Coagulate film de Mihai Grecu |code:224,,
Best video,,2008,,Oslo Screen,Film Festival,,Oslo,Norvège,Coagulate film de Mihai Grecu |code:224,,
Mention spéciale ,,2008,,Cine'Eco,Film Festival,,,Portugal,Under construction film de Zhenchen Liu |code:212,,
Grand Prix jeune public,,2008,,Cine'Eco,Film Festival,,,Portugal,Under construction film de Zhenchen Liu |code:212,,
Grand prix du jury ,,2008,,Cine'Eco,Film Festival,,,Portugal,Under construction film de Zhenchen Liu |code:212,,
Premier Prix,,2008,,COR-10,Film Festival,,,Espagne,Under construction film de Zhenchen Liu |code:212,,
Mention spéciale du jury ,,2008,Les éCrans Documentaires - Arcueil (FR) |code:1150,,Film Festival,,Arcueil,France,Under construction film de Zhenchen Liu |code:212,,
Premier Prix,,2008,,Four Film Festival,Film Festival,,,Italie,Under construction film de Zhenchen Liu |code:212,,
Mention spéciale,,2008,,Ourense,Film Festival,,,Espagne,Under construction film de Zhenchen Liu |code:212,,
Best experimental film,,2008,Sapporo Short Film Festival - Sapporo (JP) |code:1068,,Short Film Festival,,Sapporo,Japon,Under construction film de Zhenchen Liu |code:212,,
Golden olive award,,2008,,International Bunker ,Film Festival,,,Italie,Under construction film de Zhenchen Liu |code:212,,
Best documentary,,2008,,International student film festival,Film Festival,,Tel-Aviv,Israël,Under construction film de Zhenchen Liu |code:212,,
Best experimental film,,2008,Naoussa International Film Festival - Naoussa (GR) |code:1118,,Film Festival,,Naoussa,Grèce,Under construction film de Zhenchen Liu |code:212,,
Mention spéciale du jury ,,2008,,Non-Budget ,Film Festival,,,Cuba,Under construction film de Zhenchen Liu |code:212,,
Prix numérique,,2008,,Festival du cinéma européen,Film Festival,,Lille ,France,Under construction film de Zhenchen Liu |code:212,,
Prix expérimental ,,2008,,Aubagne,Film Festival,,Aubagne,France,Under construction film de Zhenchen Liu |code:212,,
Prix Marcel Duchamp,,2008,,FIAC,Gala,,Paris,France,,,
Mention spéciale,,2008,,Festival Vidéo d'Orléans,Film Festival,,Orléans,France,Under construction film de Zhenchen Liu |code:212,,
Grand prix expérimental ,,2007,25 Fps - Zagreb (HR) |code:1097,,Experimental Film Festival,,Zagreb,Croatie,La proiezione è cominciata film de Oleg Tcherny |code:160,,
Mention spéciale ,,2007,Chicago International Film Festival - Chicago (US) |code:1065,,Short Film Festival,,Chicago,Etats-Unis,Under construction film de Zhenchen Liu |code:212,,
Best picture award,,2007,,International student film festival,Film Festival,,Belgrade,Serbie,Under construction film de Zhenchen Liu |code:212,,
Mention spéciale pour la direction artisitique ,,2007,,Unimovie,Film Festival,,,Italie,Under construction film de Zhenchen Liu |code:212,,
Best short film,,2007,Sao Paulo International Short Film - Sao Paulo (BR) |code:1095,,Short Film Festival,,Sao Paulo,Brésil,Under construction film de Zhenchen Liu |code:212,,
Best documentary,,2007,,Santiago,Short Film Festival,,Santiago,Chili,Under construction film de Zhenchen Liu |code:212,,
Mention spéciale,,2007,,L'Alternativa,Film Festival,,Barcelone,Espagne,Under construction film de Zhenchen Liu |code:212,,
Prix du jury ,,2007,,TRUNK,Film Festival,,,Suède,Under construction film de Zhenchen Liu |code:212,,
Mention honorable,,2007,,Exground,Film Festival,,,Allemagne,Under construction film de Zhenchen Liu |code:212,,
Single-screen media gold award,,2007,,IFVA,Film Festival,,Hong-Kong,Chine,Métier à tisser musical installation de Kingsley N.G |code:98,,
Prix Découverte,,2007,,Rencontres d'Arles,photography festival,,Arles,France,,,
Prix du jury ,court-métrage,2007,,Lyon Asian,Film Festival,,Lyon,France,Under construction film de Zhenchen Liu |code:212,,
Prix IUP multisupports de l'Université Blaise Pascal,,2006,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,Ligne verte film de Laurent Mareschal |code:72,,
Mention spéciale photographie,,2006,,Rencontres internationales Henri Langlois ,Film Festival,,Poitiers,France,Yeux film de Roland Edzard |code:75,,
Christian-Berger prize,documentaire,2006,,Innsbrück,Film Festival,,Innsbrück,Autriche ,True love (part 1and 2) film de Teboho Edkins |code:96,,
Onda Curta Award,,2006,,Corta ! ,Short Film Festival,,Porto,Portugal,Ligne verte film de Laurent Mareschal |code:72,,
Mention spéciale du jury ,,2006,,Cinémages,Film Festival,,,France,Ligne verte film de Laurent Mareschal |code:72,,
Prix spécial du jury ,,2006,,Short shorts,Film Festival,,Tokyo,Japon,,,
1 er prix ,art-vidéo,2006,,Ingenio 400,Concours,,Madrid,Espagne,Ligne verte film de Laurent Mareschal |code:72,,
Prix de l'INA,,2005,,L'Acharnière,Film Festival,,Lille,France,,,
3 ème prix,,2005,,Black Maria,Film Festival,,New Jersey,Etats-Unis,Courant d'air film de Nora Martirosyan |code:1896,,
Best experimental film award,,2004,,Strange Screen,Film Festival,,Thessalonique,Grèce,Plus tard film de Eric Oriot |code:1274,,
Meilleur montage,,2003,,L'Acharnière,Film Festival,,Lille,France,Courant d'air film de Nora Martirosyan |code:1896,,
Mention spéciale ,,2003,,Cinéma Méditerranéen,Film Festival,,Montpellier,France,Courant d'air film de Nora Martirosyan |code:1896,,
Grand prix du court-métrage,,2003,,Entrevues,Film Festival,,Belfort,France,Courant d'air film de Nora Martirosyan |code:1896,,
Grand prix du film de recherche ,,1999,,Aubagne ,Film Festival,,Aubagne,France,Plus tard film de Eric Oriot |code:1274,,
